,,count,surf_min,surf_max,surf_mean,surf_std,price_min,price_max,price_mean,price_std,pm2_min,pm2_max,pm2_mean,pm2_std
MATADEROS,PH,61,26.0,326.0,100.44262295081967,64.62769151960262,45000.0,245000.0,119049.18032786885,46236.89046975092,500.0,2272.7272727272725,1386.5917331329242,454.35047327633026
MATADEROS,apartment,73,30.0,305.0,75.15068493150685,48.91526675230012,45000.0,1106000.0,140409.5890410959,150513.39462933128,642.8571428571429,16666.666666666668,1980.6789836987323,1840.5778454296067
MATADEROS,house,61,76.0,512.0,257.88524590163934,98.74061040409016,80000.0,680000.0,259647.54098360657,116579.57755880445,502.68817204301075,2750.0,1095.6558038662054,498.1110299243743
MATADEROS,store,7,35.0,407.0,215.71428571428572,138.305783667634,70000.0,520000.0,225571.42857142858,165565.57366697182,554.0983606557377,2000.0,1236.4051493376708,520.8669531890293
BELGRANO,PH,32,50.0,330.0,135.28125,71.76969867874254,129900.0,579000.0,291465.625,116151.33880355996,1469.3877551020407,3153.846153846154,2339.9974811410216,485.97856235815794
BELGRANO,apartment,1375,19.0,789.0,99.46109090909091,83.32320278557637,2028.2,5500000.0,306740.65861818177,368617.73048525467,32.71290322580645,10658.91472868217,2944.9254767270595,1004.3546688624755
BELGRANO,house,64,75.0,1050.0,403.921875,210.7125785791735,270000.0,3000000.0,940859.375,580706.3281897395,1000.0,6666.666666666667,2447.2558248294085,980.7529832719722
BELGRANO,store,25,12.0,700.0,123.04,157.16754881336033,28900.0,1300000.0,317060.0,337544.8509457669,1255.7077625570776,8333.333333333334,3127.635647718872,1577.8442124871056
PALERMO,PH,72,39.0,340.0,130.27777777777777,82.0369534319447,90000.0,695000.0,263395.8333333333,142225.39177647646,992.9078014184397,4768.115942028986,2233.0852426116494,671.3032972759452
PALERMO,apartment,1332,10.0,590.0,90.10885885885885,67.86629683314791,5037.6,4400000.0,316304.5393393393,361681.9483062481,129.7746835443038,44900.0,3335.8555573484227,2098.9668347881848
PALERMO,house,35,30.0,847.0,311.2,191.0743759452249,75000.0,2990000.0,725771.4285714285,562542.1424576263,1111.111111111111,9966.666666666666,2456.945498577567,1441.9430234552017
PALERMO,store,63,12.0,700.0,148.23809523809524,134.11328003626699,13000.0,2200000.0,473400.27936507936,384604.3913081593,105.55555555555556,8900.0,3928.448371256601,2028.1955947033655
FLORES,PH,59,36.0,471.0,131.77966101694915,79.53936618283079,68000.0,398000.0,162566.10169491524,73190.22721224118,594.47983014862,2277.777777777778,1382.945445210073,416.5935912022316
FLORES,apartment,732,20.0,460.0,65.98770491803279,43.8521935158706,1014.1,2809708.0,134157.43469945356,153041.27852723593,10.454639175257732,40720.40579710145,2101.932687067422,2514.0285300669493
FLORES,house,54,70.0,610.0,244.7962962962963,105.62150798604203,130000.0,690000.0,320350.0,125336.9085630731,629.6296296296297,2668.9189189189187,1397.9150406171507,441.4544126824497
FLORES,store,48,10.0,1315.0,231.10416666666666,275.2542945156452,845.1,2500000.0,594829.9666666667,559869.8505083355,14.570689655172414,15432.098765432098,3002.967373929938,2147.9457847645645
BOEDO,PH,25,29.0,380.0,164.56,98.58035504095123,63000.0,399000.0,193280.0,86735.23851353613,789.4736842105264,2172.4137931034484,1319.8635077360132,339.78181005009566
BOEDO,apartment,213,19.0,271.0,48.76525821596244,37.18714648142523,9236.9,6809000.0,330157.0464788733,531274.2368609601,318.5137931034483,206333.33333333334,9242.591668178335,16135.161488168023
BOEDO,house,25,31.0,504.0,217.68,153.2584014010325,55000.0,800000.0,392692.0,213165.3216074322,880.952380952381,20784.21052631579,4313.0143765782905,6593.033003290004
BOEDO,store,15,24.0,566.0,166.46666666666667,133.31009797544303,39000.0,650000.0,222126.66666666666,153811.73976289618,996.1685823754789,1951.219512195122,1450.128921884467,254.68436988412876
LAS CAÑITAS,PH,2,55.0,110.0,82.5,27.5,158000.0,280000.0,219000.0,61000.0,2545.4545454545455,2872.7272727272725,2709.090909090909,163.6363636363635
LAS CAÑITAS,apartment,123,17.0,334.0,97.4959349593496,67.73494180405726,50000.0,1200000.0,330535.1138211382,224242.76819410006,1491.0179640718563,6370.967741935484,3490.9723975658353,901.7694897921133
LAS CAÑITAS,house,2,200.0,408.0,304.0,104.0,820000.0,950000.0,885000.0,65000.0,2328.4313725490197,4100.0,3214.2156862745096,885.7843137254902
LAS CAÑITAS,store,1,350.0,350.0,350.0,0.0,1300000.0,1300000.0,1300000.0,0.0,3714.285714285714,3714.285714285714,3714.285714285714,0.0
PUERTO MADERO,apartment,354,26.0,600.0,147.5084745762712,87.81420542226792,169000.0,4500000.0,940424.104519774,721834.6197831491,2964.9122807017543,10869.565217391304,6045.233312478521,1371.8905101917494
PUERTO MADERO,house,3,80.0,325.0,173.0,108.37281331896236,70000.0,1490000.0,635000.0,614911.9178115404,875.0,4584.615384615385,2828.6437246963565,1520.880722769713
PUERTO MADERO,store,7,102.0,1428.0,483.42857142857144,435.9327789408615,67607.5,4600000.0,1862229.642857143,1594029.040553947,140.84895833333334,6666.666666666667,4583.64668992597,2187.4664752869967
BALVANERA,PH,26,40.0,360.0,149.15384615384616,89.62601455608242,70000.0,395000.0,181961.53846153847,88456.63029862139,467.79661016949154,1923.076923076923,1382.3133085690715,370.23579732745804
BALVANERA,apartment,373,15.0,400.0,74.70509383378015,49.32872609363317,45000.0,980000.0,136959.51742627347,94825.0037544557,828.5714285714286,13066.666666666666,1983.8749816154045,934.357838240818
BALVANERA,house,1,196.0,196.0,196.0,0.0,230000.0,230000.0,230000.0,0.0,1173.469387755102,1173.469387755102,1173.469387755102,0.0
BALVANERA,store,26,31.0,1450.0,291.5,335.58241564823936,105000.0,3000000.0,577153.8461538461,694766.1306737405,922.7467811158798,5555.555555555556,2299.1505580576127,1168.3727901681
CABALLITO,PH,56,23.0,735.0,149.05357142857142,122.32325728560038,55000.0,598000.0,220710.7142857143,114144.73531218948,643.7768240343347,3630.4347826086955,1779.3356976070713,550.3527297039714
CABALLITO,apartment,1274,0.0,360.0,69.93014128728414,41.18996065989516,1764.0,4400000.0,175167.68312401886,159473.45170418284,0.0,20000.0,2520.5374867592386,1072.5303196724487
CABALLITO,house,38,57.0,500.0,279.2631578947368,111.0188898603169,95000.0,750000.0,433678.94736842107,144727.6683217115,288.8888888888889,2884.6153846153848,1693.7445449977274,545.2065747666313
CABALLITO,store,21,30.0,600.0,257.4761904761905,206.29997092713114,57000.0,1300000.0,382067.1904761905,279161.60367678123,769.2307692307693,3977.777777777778,1808.8845656138008,687.851242580061
NUÑEZ,PH,16,41.0,420.0,137.375,92.98378554887944,83500.0,980000.0,277593.75,218481.06459356495,1300.0,2698.4126984126983,2031.4955524369752,418.3642905242491
NUÑEZ,apartment,329,10.0,684.0,95.82674772036474,94.10605032117678,22141.5,6000000.0,361581.42522796354,701534.8454602986,250.0,15735.0,3257.0952983619636,1696.6307442244417
NUÑEZ,house,24,58.0,591.0,254.95833333333334,158.91467290306736,165900.0,1300000.0,515870.8333333333,308457.7638283274,1336.7174280879865,4034.4827586206898,2196.0155136437843,599.2463471569677
NUÑEZ,store,15,27.0,1678.0,374.3333333333333,389.8388840990026,64000.0,2700000.0,745206.2799999999,656777.644116345,340.0,10000.0,2793.5487859571917,2215.4892309824154
FLORESTA,PH,45,30.0,500.0,139.0222222222222,94.7303750157112,64000.0,340000.0,163295.55555555556,67265.73489792574,560.0,2466.6666666666665,1351.907701777821,423.5766529827706
FLORESTA,apartment,183,18.0,189.0,66.1639344262295,30.112456073023974,845.1,359999.0,121996.13169398908,53693.32221093412,10.433333333333334,3023.2558139534885,1896.1117350804554,394.1775126033107
FLORESTA,house,36,75.0,800.0,284.8611111111111,160.87074742333738,75000.0,685000.0,297625.0,123358.80226891887,365.8333333333333,3266.6666666666665,1209.9590773849009,504.07624155012763
FLORESTA,store,8,24.0,680.0,140.875,207.5352003275589,46000.0,560000.0,177000.0,172540.57493818665,772.7272727272727,3000.0,1820.089338067763,733.3020965161596
BARRACAS,PH,35,34.0,762.0,161.14285714285714,142.09918927227113,67000.0,1250000.0,185942.85714285713,194815.50874860963,590.2192242833053,2132.3529411764707,1245.198564338306,380.5757726543363
BARRACAS,apartment,243,0.0,433.0,82.45679012345678,54.80891971414572,15528.6,1419000.0,169005.5497942387,123732.26257135518,0.0,29562.5,2167.968213649232,1851.9848624024753
BARRACAS,house,23,140.0,710.0,292.0,148.8573872507859,98000.0,550000.0,300869.5652173913,114794.0705739691,401.40845070422534,2117.6470588235293,1171.0304429109315,453.35456644036736
BARRACAS,store,8,35.0,855.0,285.125,264.8275087202989,43000.0,1100000.0,392750.0,295493.12597757665,646.2962962962963,5479.45205479452,2024.216691429122,1471.1262672867026
RECOLETA,PH,6,34.0,115.0,77.0,24.193663082165408,108000.0,298000.0,189666.66666666666,59742.9679729943,1732.5581395348838,3176.470588235294,2536.5128733214437,452.9993402554796
RECOLETA,apartment,938,0.0,720.0,127.75586353944563,93.0246378898165,4183.2,3200000.0,418082.1085287846,379786.6871778842,0.0,33000.0,3206.4574112322593,1453.3923266717454
RECOLETA,house,2,72.0,105.0,88.5,16.5,210000.0,425000.0,317500.0,107500.0,2916.6666666666665,4047.6190476190477,3482.142857142857,565.4761904761906
RECOLETA,store,55,15.0,967.0,179.85454545454544,199.93384525722212,39000.0,5500000.0,723067.8418181818,926749.0919362991,517.7357142857143,12035.010940919037,4283.770109332702,2636.4368106001775
CONGRESO,PH,2,60.0,75.0,67.5,7.5,90000.0,140000.0,115000.0,25000.0,1500.0,1866.6666666666667,1683.3333333333335,183.33333333333337
CONGRESO,apartment,162,20.0,325.0,74.48148148148148,50.81924178966878,1140.9,835000.0,145331.00555555554,112438.12285603544,19.015,21973.684210526317,2374.5532128215086,2755.373567569971
CONGRESO,store,10,30.0,350.0,167.6,103.34718186772197,60000.0,600000.0,275200.0,148739.23490458057,628.5714285714286,4411.764705882353,1988.4148777076261,1053.722606523592
VILLA CRESPO,PH,61,39.0,290.0,114.44262295081967,67.4064073887235,105000.0,395000.0,196601.6393442623,83736.80956425959,965.9090909090909,3500.0,1933.3543484625804,530.4965626385218
VILLA CRESPO,apartment,630,14.0,239.0,61.72222222222222,34.97033638396634,769.0,722753.0,143698.09666666668,82954.29227371323,13.345901639344262,4258.064516129032,2394.625521932694,536.5774582333297
VILLA CRESPO,house,15,38.0,450.0,226.4,96.8420019068861,75000.0,750000.0,347360.0,175425.50479714555,1013.215859030837,2186.5889212827988,1564.480163667998,416.77930355566485
VILLA CRESPO,store,61,18.0,496.0,116.44262295081967,96.21211617066824,70000.0,1450000.0,304318.0327868852,268825.2491728621,487.5,13181.818181818182,3135.0508205188576,2079.2179567744683
CHACARITA,PH,14,54.0,254.0,115.5,59.89127053013891,130000.0,390000.0,215285.7142857143,78682.3891817409,1342.857142857143,2430.5555555555557,2005.8965568089538,341.5023501100583
CHACARITA,apartment,98,23.0,202.0,56.38775510204081,29.291857422959094,50000.0,425000.0,122894.75510204081,62665.335623430336,862.0689655172414,4257.142857142857,2270.768623791857,557.2677908684329
CHACARITA,house,4,121.0,220.0,172.75,35.25177300505607,210000.0,420000.0,272250.0,85937.11363549512,1086.3636363636363,2333.3333333333335,1612.3379517096093,477.7356840749233
CHACARITA,store,4,35.0,450.0,152.5,172.57244855422317,65000.0,1500000.0,452500.0,606367.2567017451,1555.5555555555557,3333.3333333333335,2233.382936507937,673.2389388301053
ALMAGRO,PH,51,30.0,347.0,149.52941176470588,82.58313765620785,69500.0,430000.0,221225.49019607843,83413.05874896176,467.79661016949154,2738.095238095238,1718.1470543089877,563.17928144127
ALMAGRO,apartment,664,18.0,480.0,65.8960843373494,43.73898880054375,5500.0,999900.0,150172.3079819277,117486.54009921083,70.51282051282051,24387.80487804878,2590.612135558615,2980.2430613115794
ALMAGRO,house,19,31.0,1700.0,407.42105263157896,392.64277534480493,240000.0,1800000.0,517473.6842105263,331184.21784496994,555.5555555555555,23064.516129032258,2700.878588728119,4838.484096700655
ALMAGRO,store,21,12.0,590.0,132.66666666666666,155.82631764192232,40000.0,2000000.0,305095.2380952381,424103.52563202626,983.0508474576271,13698.630136986301,2854.676440716775,2582.5413514142974
CONSTITUCIÓN,PH,11,28.0,250.0,98.81818181818181,65.34081027660513,50000.0,260000.0,108863.63636363637,55507.612462817335,516.0,1785.7142857142858,1273.4690065086515,372.14560141435874
CONSTITUCIÓN,apartment,130,19.0,363.0,50.59230769230769,36.38209537540857,3549.4,360000.0,85994.06615384616,43252.451475191294,80.66818181818182,2848.3870967741937,1808.2859185794587,529.2622915936345
CONSTITUCIÓN,house,3,105.0,550.0,285.0,191.35481877043668,300000.0,479000.0,376333.3333333333,75411.46390893687,870.9090909090909,3333.3333333333335,1901.4141414141413,1044.5838955026031
CONSTITUCIÓN,store,10,22.0,1092.0,288.9,349.2644986253255,37000.0,3400000.0,581950.0,994535.0785668648,968.5863874345549,3113.5531135531137,1523.4954545450826,599.2768088794728
COLEGIALES,PH,21,51.0,361.0,144.14285714285714,75.82516589044117,130000.0,585000.0,261857.14285714287,110162.77381535868,1147.0588235294117,2843.1372549019607,1965.8132407369114,407.91992420146863
COLEGIALES,apartment,188,23.0,284.0,62.20744680851064,33.326951394117856,929.6,480000.0,145929.38563829788,70407.39302821644,19.77872340425532,4634.1463414634145,2462.1770677691434,761.762505251613
COLEGIALES,house,16,52.0,532.0,275.5625,135.38508445818542,60000.0,1200000.0,514500.0,263339.8469658551,500.0,4531.25,2030.3315194857164,881.8364112751799
COLEGIALES,store,6,25.0,231.0,68.33333333333333,73.38407335534205,65000.0,650000.0,193816.66666666666,206179.7792919783,2600.0,3161.2903225806454,2839.515614314001,181.5679191934821
VILLA URQUIZA,PH,57,26.0,236.0,113.43859649122807,46.73817236397782,59500.0,346000.0,206480.70175438595,69427.70931379036,1096.774193548387,3460.0,1926.267058171654,497.82018129893316
VILLA URQUIZA,apartment,671,23.0,300.0,58.75260804769002,28.233245376060708,2924.0,720000.0,138417.3208643815,84167.29653375772,25.649122807017545,14750.0,2382.7741417682946,988.9097584454965
VILLA URQUIZA,house,36,32.0,500.0,205.91666666666666,94.75065962831077,93000.0,850000.0,349938.8888888889,161626.2737816572,700.0,2906.25,1811.6368179836431,497.33843982081805
VILLA URQUIZA,store,10,25.0,243.0,125.5,86.35768639791134,48000.0,620000.0,279200.0,219516.19530230566,1045.4545454545455,3687.9432624113474,2354.089921616715,958.588843096696
BARRIO NORTE,PH,9,31.0,150.0,84.55555555555556,41.05852492644862,73000.0,470000.0,216777.77777777778,113220.31401728596,2076.923076923077,3333.3333333333335,2577.079487157891,459.12162443169217
BARRIO NORTE,apartment,701,0.0,720.0,101.22396576319544,77.53349869531273,819.7,3200000.0,307743.35706134094,292495.1693278001,0.0,7317.073170731707,2990.76327265445,971.5627070747304
BARRIO NORTE,house,5,350.0,650.0,450.0,104.88088481701516,890000.0,2200000.0,1448000.0,616616.5745420731,1384.6153846153845,5500.0,3472.478632478632,1734.256349936874
BARRIO NORTE,store,35,12.0,450.0,108.14285714285714,111.02332904320937,25000.0,1200000.0,357371.4285714286,275966.0523340078,970.1492537313433,15833.333333333334,4281.775604517962,3272.9165179807637
PALERMO HOLLYWOOD,PH,13,51.0,166.0,88.6923076923077,34.28474568933316,134000.0,399500.0,205153.84615384616,70587.20319178165,1428.5714285714287,3111.1111111111113,2410.4895764630587,487.7522245703633
PALERMO HOLLYWOOD,apartment,197,0.0,243.0,63.47208121827411,33.63593501145652,14546.6,820000.0,202866.69746192894,143150.895156667,0.0,6707.317073170731,3068.850879104765,1006.4807458481574
PALERMO HOLLYWOOD,house,5,220.0,1556.0,703.6,455.4543226274178,239000.0,3500000.0,1487800.0,1114394.6159238208,1086.3636363636363,2351.313969571231,1917.0769004873277,485.58375985887767
PALERMO HOLLYWOOD,store,13,35.0,1556.0,294.9230769230769,373.7215050189238,90000.0,3500000.0,810615.3846153846,867430.2932279154,1487.179487179487,4545.454545454545,3066.0334796100947,1221.5532427022922
SAAVEDRA,PH,28,10.0,300.0,90.42857142857143,55.35562209892671,84000.0,470000.0,193596.42857142858,75958.85390950089,1188.1118881118882,25000.0,3058.1874454374474,4250.4171179401865
SAAVEDRA,apartment,222,19.0,600.0,71.00450450450451,49.039834676667134,11823.5,1744000.0,173999.72252252253,146888.9472690114,305.3897959183673,35591.836734693876,2636.5105521754845,2732.4518925623
SAAVEDRA,house,27,70.0,567.0,239.2962962962963,134.56811983219305,135000.0,650000.0,366537.037037037,156177.18605184532,864.1975308641976,2555.5555555555557,1641.7955706352177,356.0079101925158
SAAVEDRA,store,8,18.0,330.0,140.875,120.11602463868007,44000.0,850000.0,359375.0,289783.0815886255,1157.8947368421052,5625.0,2691.0462589125614,1244.2079075193378
PATERNAL,PH,20,24.0,242.0,98.7,59.67755021781641,59000.0,350000.0,151495.0,70332.17951265267,650.0,2458.3333333333335,1737.3427006543911,475.22402139866665
PATERNAL,apartment,66,25.0,223.0,54.333333333333336,34.793038895094455,9290.5,375000.0,89133.28787878787,68144.83009019593,340.76969696969695,3000.0,1517.2263885255315,783.3566292989459
PATERNAL,house,10,160.0,450.0,263.7,81.43224177191733,210000.0,730000.0,382300.0,136277.69443309496,913.0434782608696,2235.294117647059,1469.6465020815606,339.0556945978568
PATERNAL,store,3,135.0,330.0,235.0,79.68688725254614,125000.0,950000.0,425000.0,372491.61064378347,606.060606060606,3958.3333333333335,1830.1066217732885,1510.5385700827367
AGRONOMÍA,PH,3,65.0,185.0,123.33333333333333,49.046463231873865,130000.0,245000.0,180000.0,48131.76359397884,1324.3243243243244,2000.0,1566.4414414414414,307.2694515685192
AGRONOMÍA,apartment,20,32.0,92.0,58.25,13.863170633011771,81000.0,209000.0,130494.0,26921.078061623015,1842.1052631578948,2638.2978723404253,2272.1727572341306,237.55399067087222
AGRONOMÍA,house,1,494.0,494.0,494.0,0.0,425000.0,425000.0,425000.0,0.0,860.3238866396761,860.3238866396761,860.3238866396761,0.0
AGRONOMÍA,store,1,350.0,350.0,350.0,0.0,420000.0,420000.0,420000.0,0.0,1200.0,1200.0,1200.0,0.0
VILLA PUEYRREDÓN,PH,18,33.0,500.0,133.94444444444446,104.40331637039027,929.6,700000.0,209107.2,150497.89302752528,18.227450980392156,2357.1428571428573,1629.868707909457,499.7396813396079
VILLA PUEYRREDÓN,apartment,46,20.0,183.0,58.97826086956522,27.433309751685943,8274.4,325000.0,128151.61739130436,58309.4838760546,413.71999999999997,3149.122807017544,2211.205847812272,538.1225533194815
VILLA PUEYRREDÓN,house,20,70.0,400.0,207.0,85.17335264036517,130000.0,485000.0,286050.0,91970.36207387682,903.2258064516129,2257.1428571428573,1495.4683933185106,372.50918228378424
COGHLAN,PH,14,39.0,276.0,89.0,62.348101128147555,110000.0,350000.0,181350.0,64922.753550441994,1268.1159420289855,3205.128205128205,2403.383715855152,632.1787397591808
COGHLAN,apartment,143,14.0,228.0,58.74125874125874,32.639740093643596,22405.1,388692.0,142853.28041958043,63568.94698023541,320.0728571428571,12714.285714285714,2611.7558372752087,1022.4379004585602
COGHLAN,house,9,106.0,588.0,283.8888888888889,130.29406436932015,270000.0,640000.0,474333.3333333333,137162.51512550926,848.6394557823129,2583.3333333333335,1870.0363511614587,587.3722586173444
COGHLAN,store,3,32.0,376.0,196.0,140.8923939276591,80000.0,850000.0,430000.0,318224.2395963367,2000.0,2500.0,2253.54609929078,204.18573972495437
PARQUE CENTENARIO,PH,6,60.0,280.0,149.16666666666666,94.13716351981058,155000.0,295000.0,221666.66666666666,57348.835113617504,1053.5714285714287,2583.3333333333335,1861.721611721612,601.3139120426686
PARQUE CENTENARIO,apartment,54,29.0,247.0,86.27777777777777,50.93184140727491,68000.0,595000.0,192153.7037037037,109109.51126847531,868.8524590163935,3453.4883720930234,2284.253062079947,407.3433403051907
PARQUE CENTENARIO,store,1,26.0,26.0,26.0,0.0,98000.0,98000.0,98000.0,0.0,3769.230769230769,3769.230769230769,3769.230769230769,0.0
SAN TELMO,PH,24,40.0,1183.0,203.29166666666666,231.1144159586089,49000.0,1290000.0,265041.6666666667,258008.95965816552,846.1538461538462,1973.6842105263158,1442.2162829535355,297.1329935724568
SAN TELMO,apartment,503,13.0,200000.0,457.44930417495027,8906.18362578815,6962.7,46545445.0,207329.3787276342,2072679.836475709,30.23710144927536,5989.583333333333,1937.1905455917552,971.8893859063452
